sn,food_name,edible_portion,moisture,protein,fat,carbs,minerals,fiber,calories,calcium,phosphorus,iron,carotene,vitamin_c,thiamine,riboflavin,niacin,cluster_id
264,Bael fruit,64.0,61.5,1.8,0.3,31.8,1.7,2.9,137.0,85.0,50.0,0.6,55.0,8.0,0.13,0.03,1.1,0
265,Bael sarbet,,54.5,1.7,0.1,45.2,0.3,1.5,189.0,,,,,,,,,0
266,Banana ripe,71.0,70.1,1.2,0.3,27.2,0.8,0.4,116.0,17.0,36.0,0.37,78.0,7.0,0.05,0.08,0.5,0
267,Banyan tree figs,,74.1,1.7,2.0,11.8,1.9,8.5,72.0,364.0,43.0,,,,,,,0
268,Bamboo fruit,,56.3,3.9,0.1,34.2,1.6,3.9,153.0,10.0,110.0,1.5,11.0,1.0,0.09,0.09,,0
269,Cashew fruit,77.0,86.3,0.2,0.1,12.3,0.2,0.9,51.0,10.0,10.0,0.2,23.0,180.0,0.02,0.05,0.4,0
270,"Dates, dried",86.0,15.3,2.5,0.4,75.8,2.1,3.9,317.0,120.0,50.0,7.3,26.0,3.0,0.01,0.02,0.9,4
271,"Dates, Fresh",,59.2,1.2,0.4,33.8,1.7,3.7,144.0,22.0,38.0,0.96,,,,,,0
272,Figs,99.0,88.1,1.3,0.2,7.6,0.6,2.2,37.0,80.0,30.0,1.0,162.0,5.0,0.06,0.05,0.6,0
273,Grape- pale green variety,,79.2,0.5,0.3,16.5,0.6,2.9,71.0,20.0,30.0,0.52,0.0,1.0,,,0.0,0
274,Grape-Blue variety,95.0,82.2,0.6,0.4,13.1,0.9,2.8,58.0,20.0,23.0,0.5,3.0,1.0,0.04,0.03,0.2,0
275,Grapes fruits( Marsh' seedless),,88.5,1.0,0.1,10.0,0.4,1.5,45.0,30.0,30.0,0.2,0.0,,0.12,0.02,0.3,0
276,Grape fruit( trumph) juice,,92.1,0.7,0.1,7.0,0.2,1.5,32.0,20.0,20.0,0.2,,31.0,0.12,0.02,0.3,0
277,"Guava , hill",,85.3,0.1,0.2,9.0,0.6,4.8,38.0,50.0,20.0,1.2,0.0,15.0,0.02,0.02,0.3,0
278,"Guava, country",100.0,81.7,0.9,0.3,11.2,0.7,5.2,51.0,10.0,28.0,0.27,0.0,212.0,0.03,0.03,0.4,0
279,Ground apple,,83.7,1.3,0.2,14.4,0.3,0.1,64.0,,,,,,,,,0
280,Jackfruit   ripe seed,30.0,76.2,1.9,0.1,19.8,0.9,0.9,88.0,20.0,41.0,0.56,175.0,7.0,0.03,0.13,0.13,0
281,Jambu fruit,75.0,83.7,0.7,0.3,14.0,0.4,0.6,62.0,15.0,15.0,0.43,48.0,18.0,0.03,0.01,0.2,0
282,Kussum fruit,,86.2,1.5,0.8,9.9,1.0,2.0,53.0,15.0,15.0,,,,,,,0
283,Lapsi,59.0,79.9,0.5,0.02,17.68,0.5,1.4,73.0,218.0,20.6,2.7,,48.15,,,,0
284,Lemon(Nibuwa),,85.0,1.0,0.9,11.1,0.3,0.7,57.0,70.0,10.0,0.26,0.0,39.0,0.02,0.01,0.1,0
285,Lemon sweet,79.0,90.5,0.7,0.3,7.3,0.5,1.5,35.0,30.0,20.0,0.7,0.0,54.0,,0.04,0.0,0
286,Lemon Juice,,85.0,1.0,0.9,12.8,0.3,1.5,63.0,70.0,10.0,0.3,0.0,39.0,,,,0
287,Lichi,68.0,84.1,1.1,0.2,13.6,0.5,0.5,61.0,10.0,35.0,0.7,0.0,31.0,0.02,0.06,0.4,0
288,"Lich ,bastard",,83.9,1.4,0.3,13.1,0.8,0.5,61.0,15.0,35.0,,,,,,,0
289,Lime,,44.6,1.5,1.0,10.9,0.7,1.3,59.0,90.0,20.0,0.3,15.0,63.0,0.2,0.03,0.1,0
290,"Lime, sweet, malta",67.0,90.3,0.7,0.2,7.8,0.4,0.6,36.0,30.0,20.0,1.0,0.0,54.0,,,0.0,0
291,Lakuch,76.0,82.1,0.7,1.1,3.3,0.8,1.7,66.0,50.0,50.0,0.5,254.0,135.0,0.02,0.15,0.3,0
292,Laruat,76.0,88.2,0.6,0.3,9.6,0.5,0.8,43.0,30.0,20.0,1.3,559.0,0.0,,,0.0,0
293,"Mango, Ripe",74.0,81.0,0.6,0.4,16.9,0.4,0.7,74.0,14.0,16.0,1.3,2743.0,16.0,0.8,0.09,0.9,0
294,"Mango, Ripe / Bombay",,77.75,1.2,0.03,21.0,0.2,0.07,89.0,,,,,,,,,0
295,"Mango, Ripe / Malda",,80.07,1.4,0.09,17.9,0.24,0.28,78.0,,,,,,,,,0
296,"Mango, Ripe / Sukutara",,81.41,1.0,0.17,16.9,0.26,0.17,73.0,,,,,,,,,0
297,"Mango, Ripe / Dashari",,80.79,1.1,0.06,17.6,0.26,0.18,75.0,,,,,,,,,0
298,"Mango, Ripe / Jarda",,83.32,0.8,0.03,15.0,0.4,0.41,63.0,,,,,,,,,0
299,"Mango, Ripe / Kalkatiya",,79.51,0.4,0.01,19.0,0.42,0.09,80.0,,,,,,,,,0
300,"Mango, Ripe / Fajali",,83.52,0.9,0.15,15.0,0.23,0.1,65.0,,,,,,,,,0
301,"Mango, Ripe / Amrapali",,82.54,1.5,0.09,15.4,0.42,0.08,68.0,,,,,,,,,0
302,"Mango, Ripe / Chausa",,80.57,0.77,0.08,17.8,0.42,0.34,75.0,,,,,,,,,0
303,"Mango, Ripe / Mallika",,81.44,0.61,0.09,17.4,0.46,0.04,73.0,,,,,,,,,0
304,"Mahua, ripe",,73.6,1.4,1.6,22.7,0.7,1.5,111.0,45.0,22.0,0.23,307.0,40.0,,,,0
305,Mulberry,100.0,86.5,1.1,0.4,10.3,0.6,1.1,49.0,70.0,30.0,2.3,57.0,12.0,0.04,0.13,0.5,0
306,Melon water,78.0,95.8,0.2,0.2,3.3,0.3,0.2,16.0,11.0,12.0,7.9,0.0,1.0,0.2,0.04,0.1,0
307,Neem fruit,,81.9,1.3,1.0,15.1,1.0,0.7,75.0,25.0,41.0,,,,,,,0
308,Junar,,87.51,4.8,0.05,11.9,,1.5,48.0,,,,,,,,,0
309,Orange,67.0,87.6,0.7,0.2,10.9,0.3,0.3,48.0,26.0,20.0,0.32,1104.0,30.0,,,,0
310,Orange juice,,97.7,0.2,0.1,1.9,0.1,1.5,9.0,5.0,9.0,0.7,15.0,64.0,0.06,0.02,0.4,0
311,Papaya   (ripe),75.0,90.8,0.6,0.1,7.2,0.5,0.8,32.0,17.0,13.0,0.5,666.0,57.0,0.4,0.25,0.2,0
312,Persimon with peel,,81.96,0.7,0.138,17.9,,0.57,129.0,10.71,35.9,0.29,,46.0,,,,0
313,Persimon without peel,,83.28,0.9,0.11,17.9,,0.85,129.0,11.14,25.5,0.27,,34.6,,,,0
314,Peaches,88.0,86.0,1.2,0.3,10.5,0.8,1.2,50.0,15.0,41.0,2.4,0.0,6.0,0.02,0.03,0.5,0
315,Phalsa,59.0,80.8,1.3,0.9,14.7,1.1,1.2,72.0,129.0,39.0,3.1,419.0,22.0,,,0.3,0
316,Pinapple,60.0,87.8,0.4,0.1,10.8,0.4,0.5,46.0,20.0,9.0,2.42,18.0,39.0,0.2,0.12,0.1,0
317,Pipal tree figs,,62.4,2.6,1.7,21.2,2.3,9.9,110.0,289.0,89.0,,,,,,,0
318,Plums,90.0,86.9,0.7,0.5,11.1,0.4,0.4,52.0,10.0,12.0,0.6,166.0,5.0,0.04,0.1,0.3,0
319,Pomegranate,68.0,78.0,1.6,0.1,14.5,0.7,5.1,65.0,10.0,70.0,1.79,0.0,16.0,0.06,0.1,0.3,0
320,Pummelo,,88.0,0.6,0.1,10.2,0.5,0.6,44.0,30.0,30.0,0.3,120.0,20.0,0.03,0.03,0.2,0
321,Pear,,86.0,0.6,0.2,11.9,0.3,1.0,52.0,8.0,15.0,0.5,28.0,0.0,0.06,0.03,0.2,0
322,Pani amala,100.0,92.2,2.6,0.14,3.4,0.37,1.26,26.0,29.3,,,,,,,,0
323,Raspbery,,84.8,1.0,0.6,11.7,0.9,1.1,56.0,40.0,110.0,2.3,1248.0,30.0,,,0.8,0
324,Red rapsberry( kafal),,83.12,1.72,0.1,8.2,0.43,6.43,41.0,,,,,,,,,0
325,Rayan,,68.6,0.0,9.6,27.7,4.5,1.5,134.0,83.0,17.0,0.9,495.0,16.0,0.07,0.08,0.4,0
326,Rose sppple,100.0,89.1,0.7,0.2,8.5,0.3,1.2,39.0,10.0,30.0,0.5,141.0,3.0,0.01,0.05,0.4,0
327,Seethphal,45.0,70.5,1.6,0.4,23.5,0.9,3.1,104.0,17.0,47.0,4.31,0.0,37.0,0.07,0.17,1.3,0
328,Strawberry,96.0,87.8,0.7,0.2,9.8,0.4,1.1,44.0,30.0,30.0,1.8,18.0,52.0,0.03,0.02,0.2,0
329,Sapota,83.0,73.7,0.7,1.1,21.4,0.5,2.6,98.0,28.0,27.0,1.25,97.0,6.0,0.02,0.03,0.2,0
330,Wood apple,,64.2,7.1,3.7,18.1,1.9,5.0,134.0,130.0,110.0,0.48,61.0,3.0,0.04,0.17,0.8,0
331,Zizyphus,,81.6,0.8,0.3,17.0,0.3,1.5,74.0,4.0,9.0,0.5,21.0,76.0,0.02,0.05,0.7,0
332,Asafoetida,,16.0,4.0,1.1,67.7,7.0,4.1,297.0,690.0,50.0,39.4,4.0,0.0,,,,4
333,Anise (Sounf),,2.2,17.5,3.4,60.0,4.0,13.5,341.0,1163.0,335.0,3.8,,,0.0,0.0,0.0,3
334,Arithippilli Arisithipplli,,12.5,13.2,4.7,58.0,6.0,5.2,329.0,460.0,325.0,13.5,,,,,,4
335,Betal nut ( Supari),,11.5,4.7,10.2,66.1,1.6,13.2,375.0,295.0,105.0,4.5,,,0.21,0.4,1.3,3
336,Cinnamon,,8.8,6.1,1.9,64.6,4.2,26.5,259.0,415.0,69.0,15.0,0.0,0.0,,,,3
337,Cardamom,,20.0,10.2,2.2,42.1,5.4,20.1,229.0,130.0,160.0,4.6,0.0,0.0,0.22,0.17,0.8,3
338,"Chilliy, dry",,10.0,15.9,6.2,31.6,6.1,30.2,246.0,160.0,370.0,2.3,345.0,50.0,0.93,0.43,9.5,3
339,"Chilliy, green",90.0,85.7,2.9,0.6,3.0,1.0,6.8,29.0,30.0,80.0,4.4,175.0,111.0,0.19,0.39,0.9,0
340,"Cloves, dry",100.0,25.2,5.2,8.9,46.0,5.2,9.5,286.0,740.0,100.0,11.7,253.0,0.0,0.08,0.13,0.0,4
341,"Coriander, dry",,11.2,14.4,16.1,21.6,4.4,32.6,288.0,630.0,393.0,7.1,942.0,0.0,0.22,0.35,1.1,3
342,Cumin seed,,11.9,18.7,15.0,36.6,5.8,12.0,356.0,1080.0,511.0,11.7,522.0,3.0,0.55,0.36,2.6,3
343,Fenμgreek seed,,13.7,26.2,5.8,44.1,3.0,7.2,333.0,160.0,370.0,6.5,96.0,0.0,0.34,0.29,1.1,1
345,"Ginger, fresh",,80.9,2.3,0.9,12.3,1.2,2.4,67.0,20.0,60.0,3.5,40.0,6.0,0.06,0.03,0.6,0
346,Mace,,15.9,6.5,24.5,47.8,1.6,3.8,437.0,180.0,100.0,12.6,3027.0,0.0,0.25,0.42,1.4,4
347,Nutmeg,,14.3,7.5,36.4,28.5,1.7,11.6,472.0,120.0,240.0,2.03,0.0,0.0,0.33,0.01,1.4,3
348,Omum,,7.4,17.1,21.8,24.6,7.9,21.2,363.0,1525.0,443.0,12.5,71.0,,0.21,0.28,2.1,3
349,pepper dry,95.0,18.2,11.5,6.8,49.2,4.4,14.9,304.0,460.0,198.0,12.4,1080.0,,0.09,0.14,1.4,3
350,Pepper green,81.0,70.6,4.8,2.7,13.7,1.8,6.4,98.0,270.0,70.0,2.4,540.0,1.0,0.05,0.04,0.2,0
351,Tamarind pulp,,20.9,3.1,0.1,67.4,2.9,5.6,283.0,170.0,110.0,17.0,60.0,3.0,,0.07,0.7,4
352,Turmeric,100.0,13.1,6.3,5.1,69.4,3.5,2.6,349.0,150.0,282.0,67.8,30.0,0.0,0.03,0.0,2.3,4
353,Timur,100.0,13.54,4.8,6.24,17.9,8.23,1.5,129.0,,,59.94,,,,,,0
354,Zimbu,100.0,18.44,4.8,0.9,17.9,9.73,1.5,129.0,,,48.9,,,,,,0
355,"Lime, peel",,66.5,1.8,0.5,29.4,1.8,1.5,129.0,710.0,60.0,2.7,,,,,,0
356,Almond,,5.2,20.8,58.9,10.5,2.9,1.7,665.0,230.0,490.0,5.09,0.0,0.0,,,,5
357,Cashew nut,,5.9,21.2,46.9,22.3,2.4,1.3,596.0,50.0,450.0,5.8,60.0,0.0,,,,5
358,Coconut (dry),,4.3,6.8,62.3,18.4,1.6,6.6,662.0,400.0,210.0,7.8,0.0,7.0,,,,5
359,Coconut (fresh),100.0,36.3,4.5,41.6,13.0,1.0,3.6,444.0,10.0,240.0,1.7,0.0,1.0,0.05,0.1,0.8,5
360,chilgoza,,4.0,13.9,49.3,29.0,2.8,1.0,615.0,91.0,494.0,3.6,,0.0,0.32,0.3,3.6,5
361,Filinge( Jhusetil),,2.2,25.6,41.4,22.3,4.7,3.1,567.0,,,,,,,,,5
362,Groundnut,73.0,3.0,25.3,40.1,26.1,2.4,3.1,567.0,90.0,350.0,2.5,37.0,0.0,,,,5
363,"Groundnut, roasted",69.0,1.7,26.2,39.8,26.7,2.5,3.1,570.0,77.0,370.0,3.1,,0.0,0.39,0.13,22.1,5
364,Linseed seeds,99.0,6.5,20.3,37.7,28.3,2.4,4.8,533.0,170.0,370.0,2.7,30.0,0.0,,,,5
365,Walnut,45.0,4.5,15.6,64.5,11.0,1.8,2.6,687.0,100.0,380.0,2.04,6.0,0.0,,,,5
366,Silam,100.0,6.2,20.0,22.1,30.6,3.5,3.13,461.0,,,,,,,,,5
367,Mustard seed,,8.5,20.0,39.7,23.8,4.2,1.8,541.0,490.0,700.0,7.9,162.0,0.0,,,,5
368,Niger seed,,4.2,23.9,39.0,17.1,4.9,10.9,515.0,300.0,224.0,56.7,,,,,,5
369,Pistachio nut,,5.6,19.8,53.5,16.2,2.8,2.1,626.0,140.0,430.0,7.7,144.0,,,,,5
370,Poppy Seed,,4.9,15.1,2.3,75.3,5.9,1.9,382.0,981.0,625.0,5.2,,,0.88,0.0,0.8,4
371,Safflower seed,,5.5,13.5,25.6,17.9,2.6,34.9,356.0,236.0,823.0,4.6,,,,,,3
372,Sunflower seed,52.0,5.5,19.8,52.1,17.9,3.7,1.0,620.0,280.0,670.0,5.0,0.0,1.0,,,,5
374,Sesame seed black,,6.36,21.3,47.97,9.33,6.12,8.86,554.0,,,,,,,,,5
375,Sesame seed white,,4.28,25.9,49.57,12.4,5.34,2.53,599.0,,442.0,4.59,,,,,,5
376,Sesame seed brown,,5.88,23.4,37.3,22.9,7.62,2.89,521.0,,480.0,16.13,,,,,,5
377,Siltimur,,5.1,7.1,42.15,26.3,4.95,14.4,542.0,,,,,,,,,3
378,Bhang ko geda,,6.2,19.9,34.8,30.6,5.26,3.1,516.0,,,,,,,,,5
379,Buffalo meat (lean meat),,78.7,19.4,0.9,0.0,1.0,1.5,86.0,3.0,189.0,,,,,,,0
380,Buff Sausage,100.0,67.34,15.9,5.64,8.8,2.21,1.5,150.0,,,,,,,,,0
381,Chicken flesh,,68.7,18.8,17.6,0.0,1.1,0.0,187.0,12.0,188.0,3.0,0.0,,,,,0
382,Chicken Sausage,100.0,64.62,16.5,18.8,0.0,2.0,0.09,253.0,,167.0,0.55,,,,,,5
383,Duck meat,,72.3,21.6,4.8,0.0,1.2,1.5,130.0,4.0,235.0,,,,,,,0
384,Field rat's meet,,73.9,23.6,1.0,0.9,1.4,1.5,104.0,30.0,242.0,,,,,,,0
385,Finch,,68.8,26.6,3.0,17.9,1.7,1.5,133.0,90.0,347.0,,,,,,,1
386,Goat- Meat(Lean meat),,74.2,21.4,3.6,0.0,1.1,1.5,118.0,12.0,193.0,,,,,,,0
387,"Liver , goat",,76.3,20.0,3.0,17.9,1.3,1.5,107.0,17.0,279.0,,,,,,17.6,0
388,"Liver , sheep",,70.4,19.3,7.5,1.3,1.5,1.5,150.0,10.0,380.0,6.3,,20.0,0.36,1.7,6.8,0
389,Mutton muscle,,71.5,18.5,13.3,17.9,1.3,1.5,194.0,150.0,150.0,2.5,,,0.36,0.14,2.8,1
390,Pork muscle,,77.4,18.7,4.4,17.9,1.0,1.5,114.0,30.0,200.0,2.2,,,,,,0
391,Pigeon meat,,70.4,23.3,4.9,17.9,1.4,1.5,137.0,12.0,290.0,,,2.0,0.18,0.09,2.8,1
392,Ham Sliced (Barume),100.0,65.49,20.8,23.9,12.5,2.45,1.5,349.0,12.41,175.5,0.67,,,,,,5
393,Ham(Smoked),100.0,63.2,21.4,15.0,0.4,,0.002,122.0,8.65,240.0,1.05,,,,,,0
394,Pork Bacon (Swiss Gourmet),100.0,50.0,14.9,21.0,10.1,4.0,0.02,289.0,,173.0,0.72,,,,,,5
395,Pork Prine Bacon,,51.62,18.8,23.0,3.4,3.2,0.012,296.0,,311.0,0.53,,,,,,5
396,Pork Sausages,100.0,63.36,19.2,28.95,13.7,2.21,1.5,392.0,15.53,286.0,0.83,,,,,,5
397,Salami Cooked,100.0,57.0,17.8,4.0,0.0,4.9,0.012,172.0,9.75,195.0,1.65,,,,,,0
398,"Snail , small",,78.9,12.6,1.0,3.7,3.8,1.5,74.0,1321.0,147.0,,,,,,,0
399,"Snail , big",,74.1,10.5,0.6,12.4,2.4,1.5,97.0,870.0,116.0,,,,0.54,,,0
400,Turtle meat,,79.4,16.5,1.5,1.5,1.1,1.5,86.0,7.0,162.0,,,,,,,0
401,Venison,,75.3,21.0,0.6,1.9,1.2,1.5,97.0,3.0,233.0,,,,,,,0
402,Duck- egg,,71.0,13.5,13.5,0.8,1.0,1.5,181.0,70.0,260.0,2.5,540.0,,0.12,0.26,0.1,0
403,Hen- egg,,73.7,13.3,13.3,17.9,1.0,1.5,173.0,60.0,220.0,2.1,600.0,0.0,0.1,0.4,,0
404,Battai-egg( Quail egg),,74.35,13.0,11.09,0.41,,1.5,158.0,62.0,220.0,3.7,,0.0,,,,0
405,Bam fish,,74.8,16.1,0.9,6.9,1.3,1.5,100.0,330.0,240.0,0.8,,3.0,,,0.3,0
406,Hisla,,53.7,21.8,19.4,2.9,2.2,1.5,273.0,180.0,280.0,2.1,,24.0,,,2.8,5
407,Katla,,73.7,19.5,2.4,2.9,1.5,1.5,111.0,530.0,235.0,0.9,,,,,0.8,0
408,Kol,,70.0,14.8,8.8,4.4,2.0,1.5,156.0,410.0,390.0,1.4,,32.0,,,0.8,0
409,Mungri,,78.5,15.0,1.0,4.2,1.3,1.5,86.0,210.0,290.0,0.7,,11.0,,,0.5,0
410,Singhi,,68.0,22.8,0.6,6.9,1.7,1.5,124.0,670.0,650.0,2.3,,9.0,,,0.8,1
411,Tengra fish,,70.0,19.2,6.4,2.3,2.1,1.5,144.0,270.0,170.0,2.0,,18.0,,,,0
412,Prawn,45.0,77.4,19.1,1.0,0.8,1.7,1.5,89.0,323.0,278.0,5.3,0.0,,0.01,0.01,4.8,0
413,Crab small,,65.3,11.2,9.8,9.1,4.6,1.5,169.0,1606.0,253.0,,,,,,,0
414,Rahu,78.0,76.7,16.7,1.4,4.4,0.9,1.5,97.0,650.0,175.0,1.0,0.0,22.0,0.05,0.05,0.7,0
415,Dry fish (Sun dried ),,13.96,64.9,4.21,16.9,,1.5,366.0,,,,,,,,,1
416,Dried Fish,,19.7,58.5,11.14,17.9,,1.5,129.0,,,,,,,,,1
417,Salted Dry Fish,,13.4,62.2,6.03,18.4,,1.5,377.0,,,,,,,,,1
418,Smoked Dry Fish,,10.42,70.8,7.23,11.6,,1.5,391.0,,,,,,,,,1
419,Buffalo milk,100.0,81.0,4.3,6.5,7.4,0.8,1.5,105.0,210.0,130.0,0.2,160.0,1.0,0.04,0.1,0.1,0
420,Cow milk,100.0,87.5,3.2,4.1,4.4,0.8,1.5,67.0,120.0,90.0,0.2,174.0,2.0,0.05,0.19,0.1,0
421,Curd,100.0,89.1,3.1,4.0,3.0,0.8,1.5,60.0,149.0,93.0,0.2,137.0,1.0,0.02,0.05,0.1,0
422,Dairy's milk,,,3.0,0.9,17.9,,1.5,129.0,,,,,,,,,0
423,Goat milk,100.0,86.8,3.3,4.5,4.6,0.8,1.5,72.0,170.0,120.0,0.3,,1.0,,0.04,0.3,0
424,Sheep milk,100.0,83.0,5.4,6.0,5.1,,1.5,95.0,170.0,,,,,,,,0
425,Paneer,100.0,47.5,23.7,26.0,0.6,1.9,0.3,331.0,441.0,435.0,4.5,,,,,,5
426,Cheese,100.0,40.3,24.1,25.1,6.3,4.2,1.5,348.0,790.0,520.0,2.1,,,,,,5
427,Human milk,100.0,88.0,1.1,3.4,7.4,0.1,1.5,65.0,28.0,11.0,,182.0,3.0,0.05,0.02,,0
428,Buttermilk,100.0,97.5,0.8,1.1,0.5,0.1,1.5,15.0,30.0,30.0,0.1,102.0,,0.05,,,0
429,Khuwa (whole buffalo milk),100.0,30.6,14.6,31.2,20.5,3.1,1.5,421.0,650.0,420.0,5.8,273.0,,,,,5
430,Skimmed milk powder (cow's milk),100.0,4.1,38.0,0.1,51.0,6.8,1.5,357.0,1370.0,1000.0,1.4,,5.0,,1.64,1.0,1
431,"Channa, buffalo's milk",100.0,54.1,13.4,23.0,7.9,1.6,1.5,292.0,480.0,277.0,,0.0,,,,,5
432,Butter,100.0,19.0,4.8,81.0,17.9,2.5,1.5,729.0,,,,3200.0,,,,,2
433,Ghee cow,100.0,,4.8,100.0,17.9,,1.5,900.0,,,,2000.0,,,,,2
434,Ghee (Buffalo),100.0,,4.8,100.0,17.9,,1.5,900.0,,,,900.0,,,,,2
435,Ghee vegetable,100.0,,4.8,100.0,17.9,,1.5,129.0,,,,,,,,,2
436,Vegetable cooking oil,100.0,,4.8,100.0,17.9,,1.5,900.0,,,,0.0,,,,,2
437,Hydrogenated oil,100.0,,4.8,100.0,17.9,,1.5,900.0,,,,2500.0,,,,,2
438,Sunflower oil,100.0,,4.8,100.0,17.9,,1.5,900.0,,,,,,,,,2
439,Soya bean oil,100.0,,4.8,100.0,17.9,,1.5,900.0,,,,,,,,,2
440,Corn oil,100.0,,4.8,100.0,17.9,,1.5,900.0,,,,,,,,,2
441,Coconut oil,100.0,,4.8,100.0,17.9,,1.5,900.0,,,,,,,,,2
442,Cotton seed oil,100.0,,4.8,100.0,17.9,,1.5,900.0,,,,,,,,,2
443,Olive oil,100.0,,4.8,100.0,17.9,,1.5,900.0,,,,,,,,,2
444,Ground nut oil,100.0,,4.8,100.0,17.9,,1.5,900.0,,,,,,,,,2
445,Seasome oil,100.0,,4.8,100.0,17.9,,1.5,900.0,,,,,,,,,2
446,Linseed oil,100.0,,4.8,100.0,17.9,,1.5,900.0,,,,,,,,,2
447,Areca nut,,31.3,4.9,4.4,47.2,1.0,11.2,249.0,50.0,130.0,1.5,3.0,5.0,,0.03,0.7,3
448,Betel leaves,,85.4,3.1,0.8,6.1,2.3,2.3,44.0,230.0,40.0,7.0,5760.0,,0.07,,,0
449,"Biscuit, salty",100.0,4.5,6.6,32.4,54.6,1.9,1.5,534.0,,,,,,,,,4
450,"Biscuit, sweet",100.0,5.4,6.4,15.2,71.9,1.1,1.5,450.0,,,,,,,,,4
451,Brown bread,100.0,39.0,8.8,1.4,49.0,,1.2,244.0,18.0,,2.2,,,0.21,,0.7,4
452,Bread white,100.0,39.0,7.8,0.7,51.9,,0.2,245.0,11.0,,1.1,,,,,,4
453,Corn flakes,100.0,2.2,7.4,0.5,17.9,2.1,1.1,129.0,,,,,,,,,0
454,Canu sugar,100.0,0.4,0.1,0.0,99.4,0.1,0.0,398.0,,,,,,,,,4
455,Coconut tender,,90.8,0.9,1.1,6.3,0.6,1.5,41.0,10.0,30.0,0.9,,,,,,0
456,coconut water,100.0,93.8,1.4,0.1,4.4,0.3,0.0,24.0,24.0,10.0,0.1,0.0,2.0,0.01,0.0,0.1,0
457,Grounnut cake,,7.2,40.9,7.4,38.8,2.5,3.2,386.0,213.0,548.0,,,,,,,1
458,Honey,,2.06,0.3,0.0,79.5,0.2,1.5,319.0,5.0,16.0,0.9,0.0,4.0,0.0,0.04,0.2,4
459,jaggary white,,8.6,3.7,0.1,85.2,2.4,1.5,357.0,63.0,49.7,7.2,,,,,,4
460,Chaku,,3.6,3.9,0.5,89.7,3.4,1.5,379.0,65.0,52.1,9.6,,,,,,4
461,Dhatelo,,6.72,27.5,30.4,29.9,2.7,2.7,504.0,,,,,,,,,5
462,Jack fruit seeds,,64.5,6.6,0.4,25.8,1.2,1.5,133.0,50.0,97.0,1.5,10.0,11.0,0.25,0.11,0.3,0
463,Jaggary cane,,3.9,0.4,0.1,95.0,0.6,1.5,383.0,80.0,40.0,11.4,168.0,0.0,0.02,0.04,0.5,4
464,Jandh,,94.6,2.0,0.075,17.9,0.56,1.5,2.6,20.2,1.5,0.015,,,,,,0
465,Mahuwa flowers,89.0,18.6,4.4,0.6,72.0,2.7,1.7,311.0,140.0,140.0,15.0,23.0,7.0,0.03,0.88,5.2,4
466,Malberry leaves powder,,6.4,13.0,2.1,38.2,6.7,8.5,293.0,162.6,,,,,,,,1
467,Papad,100.0,20.3,18.8,0.3,52.4,8.2,1.5,228.0,80.0,300.0,17.2,0.0,0.0,,,,1
