sn,food_name,edible_portion,moisture,protein,fat,carbs,minerals,fiber,calories,calcium,phosphorus,iron,carotene,vitamin_c,thiamine,riboflavin,niacin,cluster_id
546,Malo,,79.0,1.1,0.9,17.9,,1.6,129.0,,,,,78.9,,,,0
547,Maslahare,,80.0,3.3,0.05,14.1,0.9,2.9,70.0,,,,,,,,,0
548,Mayal,,79.8,0.4,0.2,16.2,0.4,1.8,68.0,,,,,,,,,0
549,Neuro,,88.0,4.4,0.2,4.2,1.3,1.0,36.0,71.53,3.95,,44.27,,,,,0
550,Phaper saag,,90.0,3.9,0.1,3.8,1.9,0.8,12.0,,,,,3.56,,,,0
551,Pidale,,93.0,2.2,0.1,2.4,1.5,1.8,19.0,14.5,,,,3.7,,,,0
552,Pudina ( Mint),,87.0,4.5,0.9,4.6,1.9,0.2,38.0,,,,3677.0,16.1,,,,0
553,Rato tarul,,74.0,1.9,0.1,2.3,0.7,10.0,100.0,76.9,45.9,1.7,34.2,3.27,,,,0
554,Sati bayer,,52.5,2.8,0.5,32.2,2.0,1.4,142.0,170.5,,,,,,,,0
555,Sisnu( Stinging Nettle),,81.7,6.9,0.2,5.0,4.2,1.8,53.0,981.3,,,,5.5,,,,0
556,Sisnu powder dry,,9.6,25.0,1.9,39.0,16.6,8.0,271.0,404.0,330.0,23.2,,,,,,1
557,Siplican,,84.0,6.3,0.9,5.8,1.9,1.8,50.0,196.0,,,,165.8,,,,0
558,Seabuck thron squash,47.7,1.02,0.1,40.82,0.16,,16.0,9.11,2.44,0.26,26.6,,,,,,3
559,Tarul githa,,76.0,2.2,0.05,3.0,0.9,1.6,85.0,,,,,8.6,,,,0
560,Tarul munta,,89.0,2.8,0.1,5.0,1.1,2.4,33.0,,,,,16.6,,,,0
561,Theki phal,,88.3,0.5,0.9,7.5,0.9,0.9,33.0,35.1,,,,2.35,,,,0
562,Thonte,,91.0,1.5,0.3,5.8,0.8,2.7,29.0,27.67,,,,6.2,,,,0
563,Timila Pakche,,88.0,1.1,0.4,7.2,0.7,1.6,37.0,,,,,53.1,,,,0
