sn,food_name,protein,fat,carbs,fiber,calories,calcium,iron,vitamin_c,breakfast,lunch,dinner,food_name_clean,breakfast_cluster,lunch_cluster,dinner_cluster
318,Plums,0.7,0.5,11.1,0.4,52.0,10.0,0.6,5.0,1,0,0,plums,0,,
319,Pomegranate,1.6,0.1,14.5,5.1,65.0,10.0,1.79,16.0,1,0,0,pomegranate,0,,
320,Pummelo,0.6,0.1,10.2,0.6,44.0,30.0,0.3,20.0,1,0,0,pummelo,0,,
321,Pear,0.6,0.2,11.9,1.0,52.0,8.0,0.5,0.0,1,0,0,pear,0,,
322,Pani amala,2.6,0.14,3.4,1.26,26.0,29.3,1.94,59.45,1,0,0,pani amala,0,,
323,Raspbery,1.0,0.6,11.7,1.1,56.0,40.0,2.3,30.0,1,0,0,raspbery,0,,
324,Red rapsberry( kafal),1.72,0.1,8.2,6.43,41.0,125.14,4.02,59.41,1,0,0,red rapsberry( kafal),0,,
325,Rayan,0.0,9.6,27.7,3.14,134.0,83.0,0.9,16.0,1,0,0,rayan,0,,
326,Rose sppple,0.7,0.2,8.5,1.2,39.0,10.0,0.5,3.0,1,0,0,rose sppple,0,,
327,Seethphal,1.6,0.4,23.5,3.1,104.0,17.0,4.31,37.0,1,0,0,seethphal,0,,
328,Strawberry,0.7,0.2,9.8,1.1,44.0,30.0,1.8,52.0,1,0,0,strawberry,0,,
329,Sapota,0.7,1.1,21.4,2.6,98.0,28.0,1.25,6.0,1,0,0,sapota,0,,
330,Wood apple,7.1,3.7,18.1,5.0,134.0,130.0,0.48,3.0,1,0,0,wood apple,0,,
331,Zizyphus,0.8,0.3,17.0,2.69,74.0,4.0,0.5,76.0,1,0,0,zizyphus,0,,
332,Asafoetida,4.0,1.1,67.7,4.1,297.0,690.0,39.4,0.0,0,0,0,asafoetida,,,
333,Anise (Sounf),17.5,3.4,60.0,13.5,341.0,1163.0,3.8,58.83,0,0,0,anise (sounf),,,
334,Arithippilli Arisithipplli,13.2,4.7,58.0,5.2,329.0,460.0,13.5,58.95,0,1,1,arithippilli arisithipplli,,1,3
335,Betal nut ( Supari),4.7,10.2,66.1,13.2,375.0,295.0,4.5,58.91,0,0,0,betal nut ( supari),,,
336,Cinnamon,6.1,1.9,64.6,26.5,259.0,415.0,15.0,0.0,0,0,0,cinnamon,,,
337,Cardamom,10.2,2.2,42.1,20.1,229.0,130.0,4.6,0.0,0,0,0,cardamom,,,
338,"Chilliy, dry",15.9,6.2,31.6,30.2,246.0,160.0,2.3,50.0,0,1,1,"chilliy, dry",,2,0
339,"Chilliy, green",2.9,0.6,3.0,6.8,29.0,30.0,4.4,111.0,0,1,1,"chilliy, green",,0,1
340,"Cloves, dry",5.2,8.9,46.0,9.5,286.0,740.0,11.7,0.0,0,0,0,"cloves, dry",,,
341,"Coriander, dry",14.4,16.1,21.6,32.6,288.0,630.0,7.1,0.0,0,0,0,"coriander, dry",,,
342,Cumin seed,18.7,15.0,36.6,12.0,356.0,1080.0,11.7,3.0,0,0,0,cumin seed,,,
343,Fenμgreek seed,26.2,5.8,44.1,7.2,333.0,160.0,6.5,0.0,0,1,1,fenμgreek seed,,2,0
345,"Ginger, fresh",2.3,0.9,12.3,2.4,67.0,20.0,3.5,6.0,0,1,1,"ginger, fresh",,0,1
346,Mace,6.5,24.5,47.8,3.8,437.0,180.0,12.6,0.0,0,0,0,mace,,,
347,Nutmeg,7.5,36.4,28.5,11.6,472.0,120.0,2.03,0.0,0,0,0,nutmeg,,,
348,Omum,17.1,21.8,24.6,21.2,363.0,1525.0,12.5,58.75,0,0,0,omum,,,
349,pepper dry,11.5,6.8,49.2,14.9,304.0,460.0,12.4,58.98,0,0,0,pepper dry,,,
350,Pepper green,4.8,2.7,13.7,6.4,98.0,270.0,2.4,1.0,0,0,0,pepper green,,,
351,Tamarind pulp,3.1,0.1,67.4,5.6,283.0,170.0,17.0,3.0,0,1,1,tamarind pulp,,1,3
352,Turmeric,6.3,5.1,69.4,2.6,349.0,150.0,67.8,0.0,0,0,0,turmeric,,,
353,Timur,19.46,6.24,46.79,8.06,316.89,1026.97,59.94,58.87,0,0,0,timur,,,
354,Zimbu,19.46,19.28,34.59,7.33,379.42,879.7,48.9,58.81,0,0,0,zimbu,,,
355,"Lime, peel",1.8,0.5,29.4,6.32,129.0,710.0,2.7,59.2,1,0,0,"lime, peel",0,,
356,Almond,20.8,58.9,10.5,1.7,665.0,230.0,5.09,0.0,1,0,0,almond,2,,
357,Cashew nut,21.2,46.9,22.3,1.3,596.0,50.0,5.8,0.0,1,0,0,cashew nut,2,,
358,Coconut (dry),6.8,62.3,18.4,6.6,662.0,400.0,7.8,7.0,1,0,0,coconut (dry),2,,
359,Coconut (fresh),4.5,41.6,13.0,3.6,444.0,10.0,1.7,1.0,1,0,0,coconut (fresh),2,,
360,chilgoza,13.9,49.3,29.0,1.0,615.0,91.0,3.6,0.0,1,0,0,chilgoza,2,,
361,Filinge( Jhusetil),25.6,41.4,22.3,3.1,567.0,390.18,12.94,58.63,1,0,0,filinge( jhusetil),2,,
362,Groundnut,25.3,40.1,26.1,3.1,567.0,90.0,2.5,0.0,1,0,0,groundnut,2,,
363,"Groundnut, roasted",26.2,39.8,26.7,3.1,570.0,77.0,3.1,0.0,1,0,0,"groundnut, roasted",2,,
364,Linseed seeds,20.3,37.7,28.3,4.8,533.0,170.0,2.7,0.0,1,0,0,linseed seeds,2,,
365,Walnut,15.6,64.5,11.0,2.6,687.0,100.0,2.04,0.0,1,0,0,walnut,2,,
366,Silam,20.0,22.1,30.6,3.13,461.0,297.81,10.53,58.79,1,0,0,silam,2,,
