sn,food_name,protein,fat,carbs,fiber,calories,calcium,iron,vitamin_c
257,Blackgram+Cauliflower Maseura,24.5,0.6,57.5,2.5,333.0,8.1,3.1,59.01
258,Apple,0.2,0.5,13.4,1.0,59.0,10.0,0.66,1.0
259,Amala ( big),0.0,0.2,13.7,3.6,54.0,91.32,2.82,324.1
260,Amala (small),0.0,0.2,15.34,3.21,58.0,50.0,1.2,562.62
261,Apricot fresh,1.0,0.3,11.6,1.1,53.0,20.0,2.2,6.0
262,Apricot dried,1.6,0.7,73.4,2.1,306.0,110.0,4.6,2.0
263,Avocado,1.7,22.8,0.8,2.78,215.0,10.0,0.7,59.19
264,Bael fruit,1.8,0.3,31.8,2.9,137.0,85.0,0.6,8.0
265,Bael sarbet,1.7,0.1,45.2,3.05,189.0,56.01,4.09,59.21
266,Banana ripe,1.2,0.3,27.2,0.4,116.0,17.0,0.37,7.0
267,Banyan tree figs,1.7,2.0,11.8,8.5,72.0,364.0,9.04,59.33
268,Bamboo fruit,3.9,0.1,34.2,3.9,153.0,10.0,1.5,1.0
269,Cashew fruit,0.2,0.1,12.3,0.9,51.0,10.0,0.2,180.0
270,"Dates, dried",2.5,0.4,75.8,3.9,317.0,120.0,7.3,3.0
271,"Dates, Fresh",1.2,0.4,33.8,3.7,144.0,22.0,0.96,59.28
272,Figs,1.3,0.2,7.6,2.2,37.0,80.0,1.0,5.0
273,Grape- pale green variety,0.5,0.3,16.5,2.9,71.0,20.0,0.52,1.0
274,Grape-Blue variety,0.6,0.4,13.1,2.8,58.0,20.0,0.5,1.0
275,Grapes fruits( Marsh' seedless),1.0,0.1,10.0,2.8,45.0,30.0,0.2,59.42
276,Grape fruit( trumph) juice,0.7,0.1,7.0,2.75,32.0,20.0,0.2,31.0
277,"Guava , hill",0.1,0.2,9.0,4.8,38.0,50.0,1.2,15.0
278,"Guava, country",0.9,0.3,11.2,5.2,51.0,10.0,0.27,212.0
279,Ground apple,1.3,0.2,14.4,0.1,64.0,95.05,3.64,59.39
280,Jackfruit   ripe seed,1.9,0.1,19.8,0.9,88.0,20.0,0.56,7.0
281,Jambu fruit,0.7,0.3,14.0,0.6,62.0,15.0,0.43,18.0
282,Kussum fruit,1.5,0.8,9.9,2.0,53.0,15.0,1.92,59.41
283,Lapsi,0.5,0.02,17.68,1.4,73.0,218.0,2.7,48.15
284,Lemon(Nibuwa),1.0,0.9,11.1,0.7,57.0,70.0,0.26,39.0
285,Lemon sweet,0.7,0.3,7.3,2.8,35.0,30.0,0.7,54.0
286,Lemon Juice,1.0,0.9,12.8,3.02,63.0,70.0,0.3,39.0
287,Lichi,1.1,0.2,13.6,0.5,61.0,10.0,0.7,31.0
288,"Lich ,bastard",1.4,0.3,13.1,0.5,61.0,15.0,2.01,59.4
289,Lime,1.5,1.0,10.9,1.3,59.0,90.0,0.3,63.0
290,"Lime, sweet, malta",0.7,0.2,7.8,0.6,36.0,30.0,1.0,54.0
291,Lakuch,0.7,1.1,3.3,1.7,66.0,50.0,0.5,135.0
292,Laruat,0.6,0.3,9.6,0.8,43.0,30.0,1.3,0.0
293,"Mango, Ripe",0.6,0.4,16.9,0.7,74.0,14.0,1.3,16.0
294,"Mango, Ripe / Bombay",1.2,0.03,21.0,0.07,89.0,82.94,3.65,59.35
295,"Mango, Ripe / Malda",1.4,0.09,17.9,0.28,78.0,90.7,3.69,59.37
296,"Mango, Ripe / Sukutara",1.0,0.17,16.9,0.17,73.0,87.96,3.59,59.37
